38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman Buah-buahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpukat (Ton),,,Belimbing (Ton),,,Duku/Langsat/Kokosan (Ton),,,Durian (Ton),,,Jambu Biji (Ton),,,Jambu Air (Ton),,,Jeruk Siam/Keprok (Ton),,,Jeruk Besar (Ton),,,Mangga (Ton),,,Manggis (Ton),,,Nangka/Cempedak (Ton),,,Nenas (Ton),,,Pepaya (Ton),,,Pisang (Ton),,,Rambutan (Ton),,,Salak (Ton),,,Sawo (Ton),,,Sirsak (Ton),,,Sukun (Ton),,,Melon (Ton),,,Semangka (Ton),,,Apel (Ton),,,Anggur (Ton),,,Stroberi (Ton),,
,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023
ACEH,44484,85794,80803,1202,1979,3254,6814,10087,9184,45915,56662,61220,12144,8508,9295,5445,5423,5536,12319,25926,65918,10221,8063,7475,21782,34516,30426,3371,3149,2822,8411,15106,9223,734,21437,19847,32041,41048,26625,108643,107195,112037,38813,40173,47448,430,1120,531,4732,4245,5511,1289,1193,1572,2022,1542,2132,343,559,255,7725,5120,6387,79,81,164,-,0,-,60,20,50
SUMATERA UTARA,35378,50511,53179,6447,7235,4639,24308,17714,24990,119632,119371,137353,15634,14229,11162,18587,16329,12050,448211,398064,440910,322,311,325,46162,48868,42589,25821,25972,21289,15907,16178,14960,165063,165080,169681,50232,35241,37257,121364,164533,130725,34655,26416,23764,292881,265180,320362,18633,23890,35946,2650,4674,2487,1775,3612,1215,1754,2113,1955,19899,29418,29378,-,0,-,3,3,7,83,110,150
SUMATERA BARAT,84083,112723,102476,975,888,723,7676,8183,4935,170707,219638,65269,9335,6955,5105,16996,7517,7462,118578,117494,65089,646,374,147,17066,20392,16054,69656,95014,26341,14254,13266,11154,414,560,235,41499,36685,39633,152732,158698,138782,34541,35291,15778,3608,1361,1340,14916,13428,9559,10030,11232,14570,3696,3315,3466,1985,849,709,20283,11912,9042,17,29,5,1,3,6,274,99,87
RIAU,1714,1686,1892,2439,2442,2325,7595,3970,3475,30114,30039,22660,10235,11987,8051,9039,8874,7234,58787,47437,21249,760,653,610,19737,15241,14093,11694,11282,6977,20424,18467,10774,354878,261769,379025,22470,24403,18547,48901,55207,27766,40510,26866,17014,3202,4828,5834,5752,3932,3345,1601,1336,1321,2298,2303,1533,757,1255,1789,16046,17539,21102,-,0,-,10,49,21,-,0,-
JAMBI,10489,12885,18387,1438,974,1061,18072,12368,8087,26209,22183,26795,4707,4386,3351,4587,4082,3989,45766,88886,55648,190,160,53,7673,6034,5942,10541,15648,11549,16588,14128,17652,32756,119862,186605,17984,13708,19475,69258,45555,46028,7857,6132,7861,8235,5030,3099,4263,3851,3200,2605,2188,1988,3085,3208,2736,485,867,837,4979,5849,5588,-,0,-,2,10,-,9,12,1
SUMATERA SELATAN,15927,53149,59118,1367,1452,1429,67476,17573,15326,46309,40615,39671,7373,5532,7622,11316,14367,10016,71678,44468,42958,465,57,42,20324,18373,21096,2700,1702,3754,13190,12576,13798,476074,567120,477430,28500,19409,39376,354143,334145,586042,18500,11682,10197,1764,2385,1465,9662,6000,7534,1696,1426,2202,3828,2870,3201,2101,1928,1534,14385,16947,10772,3,0,-,1,10,34,21,169,25
BENGKULU,6877,8993,7577,312,394,251,242,1323,1988,18639,27969,22328,1614,2530,1297,984,1160,1656,22732,30239,23355,-,4,3,6392,10093,6910,5048,8239,4691,4578,5593,5365,385,381,519,7542,12912,7567,22492,91550,20735,4942,8840,5048,2057,6819,1320,1609,1653,1449,474,494,298,398,697,592,270,402,411,604,809,1541,-,48,104,5,31,4,57,74,51
LAMPUNG,24008,22420,35966,4106,2995,2509,8911,10410,8453,20394,27590,45102,11438,18830,15564,7624,16080,29252,79981,72777,108686,472,417,487,24609,15620,26316,20496,3483,2518,84885,53373,36541,705883,861706,722847,87378,39226,92513,1123240,1223009,1322030,17273,22899,22643,7984,9790,20909,14344,11820,14742,2883,2506,2748,8082,6117,10518,676,822,1746,18320,19442,16169,-,0,-,17,73,102,-,0,-
KEP. BANGKA BELITUNG,1509,1742,1511,116,94,71,852,472,275,6212,2269,5808,640,490,670,1357,1353,1265,1583,1101,1049,8,13,22,2237,1864,1889,398,389,442,2659,2318,1463,6827,5253,5882,2517,2875,8629,6980,4627,4408,3044,1090,1110,1006,1289,464,536,498,363,124,92,104,517,493,484,266,251,379,2268,3605,3150,-,0,-,-,0,-,-,0,-
KEP. RIAU,93,157,336,66,54,189,296,152,68,2714,5298,5437,415,505,742,308,136,563,163,64,110,9,10,9,1412,923,1088,307,117,53,1795,1094,1689,5569,4547,7339,1296,954,1141,2724,3049,5782,2551,2227,996,5616,13824,158,157,105,207,172,149,281,317,149,484,13,61,5,1601,963,1063,-,0,-,-,0,-,-,0,-
DKI JAKARTA,1698,234,1157,3040,2779,3242,19,7,12,223,340,235,975,2901,2338,2557,1252,1909,435,103,174,11,9,9,9122,5269,5503,-,0,1,710,558,643,-,0,1,1467,988,1244,3302,2962,33139,6921,2280,3653,17,14,14,251,252,364,106,69,55,744,952,790,5,5,209,-,0,1,-,0,-,3,10,25,-,0,-
JAWA BARAT,110046,121326,115083,8769,9454,8327,9091,6965,7301,86785,80334,158693,69249,79961,78091,23585,33838,28581,51554,54122,46233,4829,5443,7516,444073,451174,438295,32160,36173,115023,79322,73714,98420,276195,161359,171332,124466,126227,110751,1649228,1317558,1267922,171069,138397,154037,20704,28455,18217,18643,21567,21311,14620,16714,13876,28076,23113,24377,1028,1282,1187,6841,8232,6821,-,0,-,61,105,115,6458,25413,23409
JAWA TENGAH,75707,130029,143795,18878,20987,21298,15125,15122,12438,159199,181713,197963,111674,91293,109989,46212,66007,64826,22884,34947,35319,17829,23959,19343,457674,505800,575269,8784,6809,38867,159155,153633,156333,344852,336102,282633,142034,121173,125866,804262,999739,918852,121619,134509,146428,432097,482423,245105,21463,22675,21378,22131,18493,15827,36782,35188,39235,24135,26231,23086,57953,59837,66456,22,41,7,105,260,206,1165,1303,608
DI YOGYAKARTA,10931,11502,11735,667,946,1004,2596,3760,2607,9258,8849,13602,4849,6702,9225,4944,3004,3794,2726,2450,2939,118,53,264,33456,27066,37532,2782,2827,3816,15238,15010,20240,566,665,789,14653,16084,18088,68257,78045,78534,16286,15999,22544,57296,54498,51841,3906,2302,5970,1506,1184,2474,8359,6809,9745,14550,7001,10885,5184,8298,11940,-,0,-,21,30,28,1,44,26
JAWA TIMUR,158581,183258,186433,75970,64856,59698,16407,20028,12461,275319,419913,488356,83404,117919,79798,23092,26716,28094,822260,1076813,1406415,29177,57257,29867,1192896,1593494,1488890,31677,81362,84244,182741,176077,155007,198773,357505,435679,253700,250325,349998,2048948,2626582,2807038,123200,155450,129998,210587,199625,385831,18529,19721,17664,24475,33307,35917,25542,29370,17059,68527,62287,59246,138245,97357,107902,509367,523326,392173,775,376,201,838,1085,209
BANTEN,1444,2403,1860,1449,1340,651,2023,4596,3796,29456,28161,86677,5164,5765,3200,4857,7508,3777,975,724,555,69,67,6,22713,43346,43819,4934,4761,16486,5930,6629,5258,388,344,115,19840,15325,12646,284683,293383,276434,31396,38545,22286,921,1985,577,2295,2872,1646,3948,3223,1753,7667,8145,5861,169,290,298,837,513,1502,-,0,-,8,9,39,6,17,15
